str_id, str_name, str_suffix, str_city, str_soundex, str_status, str_rsvd, str_subdiv, str_juris
"11147","ARBORWOOD","LN","FORT COLLINS","A616","E","0","945","1"
"255","ARCADA","CT","FORT COLLINS","A623","E","0","0","1"
"10798","ARCHES","CT","BERTHOUD","A622","P","1","961","7"
"8657","ARCHIBALD ","DR","LOVELAND","A621","P","0","398","3"
"8179","ARCHULETA","","JOHNSTOWN","A624","P","0","0","6"
"256","ARCTIC FOX","DR","FORT COLLINS","A623","E","0","0","1"
"9538","AREIATIC SEA","CT","LOVELAND","A632","P","0","507","2"
"7261","ARENA","CIR","LOVELAND","A650","E","1","113","2"
"257","ARGENTO","DR","FORT COLLINS","A625","E","0","0","1"
"8632","ARGO","DR","TIMNATH","A620","P","1","394","8"
"8347","ARGYLL","LN","JOHNSTOWN","A624","P","0","61","6"
"11389","ARIA","WAY","FORT COLLINS","A600","P","1","1025","1"
"7202","ARIEL","DR","LOVELAND","A640","P","1","90","2"
"9156","ARIES","DR","LOVELAND","A620","P","1","498","2"
"258","ARIKARA","","LYONS","A626","E","0","0","3"
"259","ARIKAREE","DR","LOVELAND","A626","E","0","0","2"
"260","ARIKAREE","CT","LOVELAND","A626","E","0","0","2"
"261","ARIKAREE PEAK","CT","LIVERMORE","A626","E","0","0","3"
"262","ARIKAREE PEAK","DR","LIVERMORE","A626","E","0","0","3"
"8627","ARION","PKWY","TIMNATH","A650","P","1","394","8"
"11168","ARISTA","BLVD","FORT COLLINS","A623","E","0","945","1"
