Date,Year,Month,Scooter Trips,Bike Trips,Normal Price,College Price
9/7/2022,2022,9,824,279,0.3,0.3
9/8/2022,2022,9,830,318,0.3,0.3
9/9/2022,2022,9,625,325,0.3,0.3
9/10/2022,2022,9,1037,448,0.3,0.3
9/11/2022,2022,9,672,344,0.3,0.3
9/12/2022,2022,9,719,332,0.3,0.3
9/13/2022,2022,9,798,295,0.3,0.3
9/14/2022,2022,9,745,288,0.3,0.3
9/15/2022,2022,9,786,321,0.3,0.3
9/16/2022,2022,9,1036,306,0.3,0.3
9/17/2022,2022,9,902,351,0.3,0.3
9/18/2022,2022,9,748,315,0.3,0.3
9/19/2022,2022,9,594,250,0.3,0.3
9/20/2022,2022,9,719,255,0.3,0.3
9/21/2022,2022,9,555,213,0.3,0.3
9/22/2022,2022,9,653,227,0.3,0.3
9/23/2022,2022,9,955,382,0.3,0.3
9/24/2022,2022,9,932,675,0.3,0.3
9/25/2022,2022,9,561,362,0.3,0.3
9/26/2022,2022,9,585,183,0.3,0.3
9/27/2022,2022,9,661,237,0.3,0.3
9/28/2022,2022,9,661,279,0.3,0.3
9/29/2022,2022,9,559,328,0.3,0.3
9/30/2022,2022,9,495,375,0.3,0.3
10/1/2022,2022,10,478,495,0.3,0.3
10/2/2022,2022,10,383,313,0.3,0.3
10/3/2022,2022,10,525,205,0.3,0.3
10/4/2022,2022,10,562,274,0.3,0.3
10/5/2022,2022,10,580,317,0.3,0.3
10/6/2022,2022,10,714,348,0.3,0.3
10/7/2022,2022,10,511,301,0.3,0.3
10/8/2022,2022,10,602,367,0.3,0.3
10/9/2022,2022,10,433,308,0.3,0.3
10/10/2022,2022,10,624,235,0.3,0.3
10/11/2022,2022,10,530,202,0.3,0.3
10/12/2022,2022,10,614,199,0.3,0.3
10/13/2022,2022,10,578,255,0.3,0.3
10/14/2022,2022,10,812,363,0.3,0.3
10/15/2022,2022,10,1308,712,0.3,0.3
10/16/2022,2022,10,476,343,0.3,0.3
10/17/2022,2022,10,429,256,0.3,0.3
10/18/2022,2022,10,492,239,0.3,0.3
10/19/2022,2022,10,421,263,0.3,0.3
10/20/2022,2022,10,464,254,0.3,0.3
10/21/2022,2022,10,846,252,0.3,0.3
10/22/2022,2022,10,949,340,0.3,0.3
10/23/2022,2022,10,394,178,0.3,0.3
10/24/2022,2022,10,360,101,0.3,0.3
10/25/2022,2022,10,410,111,0.3,0.3
10/26/2022,2022,10,589,102,0.3,0.3
10/27/2022,2022,10,561,79,0.3,0.3
10/28/2022,2022,10,779,119,0.3,0.3
10/29/2022,2022,10,864,111,0.3,0.3
10/30/2022,2022,10,567,98,0.3,0.3
10/31/2022,2022,10,542,61,0.3,0.3
11/1/2022,2022,11,416,99,0.3,0.3
11/2/2022,2022,11,410,74,0.3,0.3
11/3/2022,2022,11,320,62,0.3,0.3
11/4/2022,2022,11,320,77,0.3,0.3
11/5/2022,2022,11,342,162,0.3,0.3
11/6/2022,2022,11,290,113,0.3,0.3
11/7/2022,2022,11,451,99,0.3,0.3
11/8/2022,2022,11,516,130,0.3,0.3
11/9/2022,2022,11,384,152,0.3,0.3
11/10/2022,2022,11,419,119,0.3,0.3
11/11/2022,2022,11,447,143,0.3,0.3
11/12/2022,2022,11,765,244,0.3,0.3
11/13/2022,2022,11,295,127,0.3,0.3
11/14/2022,2022,11,355,92,0.3,0.3
11/15/2022,2022,11,370,134,0.3,0.3
11/16/2022,2022,11,301,117,0.3,0.3
11/17/2022,2022,11,104,71,0.3,0.3
11/18/2022,2022,11,77,47,0.3,0.3
11/19/2022,2022,11,84,40,0.3,0.3
11/20/2022,2022,11,150,33,0.3,0.3
11/21/2022,2022,11,129,47,0.3,0.3
11/22/2022,2022,11,134,39,0.3,0.3
11/23/2022,2022,11,114,25,0.3,0.3
11/24/2022,2022,11,114,36,0.3,0.3
11/25/2022,2022,11,289,37,0.3,0.3
11/26/2022,2022,11,186,57,0.3,0.3
11/27/2022,2022,11,144,50,0.3,0.3
11/28/2022,2022,11,278,64,0.3,0.3
11/29/2022,2022,11,43,28,0.3,0.3
11/30/2022,2022,11,135,31,0.3,0.3
12/1/2022,2022,12,179,59,0.4,0.4
12/2/2022,2022,12,237,44,0.4,0.4
12/3/2022,2022,12,201,48,0.4,0.4
12/4/2022,2022,12,215,70,0.4,0.4
12/5/2022,2022,12,275,60,0.4,0.4
12/6/2022,2022,12,238,53,0.4,0.4
12/7/2022,2022,12,229,70,0.4,0.4
12/8/2022,2022,12,281,63,0.4,0.4
